title;author_info;rating;pros;cons;date
Spannende Engineering-Tätigkeit beim Top Global Player der Chemie;Mitarbeiter im Bereich Anonym in Ludwigshafen am Rhein, Deutschland;5.0;Die Tätigkeit ist durch das breite Technologiespektrum des Unternehmens fachlich sehr abwechslungsreich und spannend. Die Herausforderungen sind vielfältig und bieten stets Möglichkeiten zur Weiterentwicklung. Vor allem am Verbundstandort hat man die Möglichkeit, mit Betriebsbereichen, Instandhaltung, Turnaround Management u.v.A. zusammenzuarbeiten. Das erweitert den Horizont ungemein. Weltweit gibt es nur sehr wenige Unternehmen, die solche Gelegenheiten bieten.;In der Projektierung wird m.E. noch nicht zureichend sichergestellt, dass die Mitarbeiter Hands-on-Erfahrung sammeln, z.B. bei Inbetriebnahmen der Anlagen.;01. Okt 18
Gute Ellenbogen? Willkommen bei BASF!;Mitarbeiter im Bereich Chemie in Ludwigshafen am Rhein, Deutschland;2.0;Für das größte Chemieunternehmen der Welt zu arbeiten kann ein gewisses Ehrgefühl bewirken, was andere Unternehmen nicht von sich sagen können.;Weniger Ellenbogengesellschaft, keine Wissenshamsterrei, auch dort wird nur mit Wasser gekocht, ein Fakt welcher sich alle Mitarbeiter mal zu Herzen nehmen sollten; 2017
Speak English, organize your self and you'll be happy;Mitarbeiter im Bereich Anonym in Hamburg, Deutschland;1.0;Das Unternehmen zeichnet sich durch eine durch und durch indische Unternehmenskultur aus. Die Flexibilität ist im vollen Umfang gegeben, solange der Erfolg stimmt.;Indische Arbeitsbedingungen halten auch in deutsche Büros Einzug. Narzistisch geprägte Führungskräfte sind willkommen und keine Seltenheit.;21. Sep 18
Das war für mich nichts.;Mitarbeiter im Bereich Verkaufsberatung in Ludwigshafen am Rhein, Deutschland;1.0;Kantine war gut aber das war es auch.;Bessere Jobs kennen nur mit Vitamin B erreicht werden.;2018
Sehr zufrieden;Mitarbeiter im Bereich Anonym in Ludwigshafen am Rhein, Deutschland;5.0;Arbeitsatmosphäre, Gruppendynamik, offene Kommunikation, Internationalität;Bessere und gleichwertige Integrierung von Kontraktoren. Allein schon, dass ein Kontraktor, der andere BASF-Mitarbeiter unterstützt auch auf einer Telefonliste erscheint.; 22. August 2018
Tolle Firma;Mitarbeiter im Bereich Anonym in Münster, Deutschland;4.0;Stimmung, Moral, Kollegen, Arbeitszeit, Bezahlung;Gemeinschaft, Druck verringern, Hirarchien ändern,;20. Aug 18
Best in class in chemistry;Mitarbeiter im Bereich Anonym in Ludwigshafen am Rhein, Deutschland;4.0;Karrieremöglichkeiten, Diversität, Zusatzleistungen, Altersversorgung, Arbeitsplatzsicherheit;Karrieremöglichkeiten, Diversität, Zusatzleistungen, Altersversorgung, Arbeitsplatzsicherheit;17. Aug 18
Positiv ;Mitarbeiter im Bereich Montage und Bearbeitung in Ludwigshafen am Rhein, Deutschland;5.0;Ich liebe am meisten das GehBessere Vorgesetzte einstellen im Betriebalt ;;17. Aug 18
Für Chemiker immer noch die erste Wahl;Mitarbeiter im Bereich Anonym in Ludwigshafen am Rhein, Deutschland;4.0;Flexible Arbeit  Sabbatical war möglich ;Flexible Arbeit  Sabbatical war möglich ;16. Aug 18
Arbeitgeber am Rhein;Mitarbeiter im Bereich Elektrik in Ludwigshafen am Rhein, Deutschland;5.0;Bei diesem Arbeitgeber kann man nichts verbessern;Bei diesem Arbeitgeber kann man nichts verbessern;15. Aug 18
